fulton county grand jury friday investigation atlanta recent primary election, The Fulton County Grand Jury said Friday an investigation of Atlanta's recent primary election produced `` no evidence '' that
austin texas committee approval gov. daniel abandon property '' act, Austin , Texas -- Committee approval of Gov. Price Daniel's `` abandoned property '' act seemed certain Thursday despite the
several defendant summerdale police burglary trial make statement indicate guilt, Several defendants in the Summerdale police burglary trial made statements indicating their guilt at the time of their arrest ,
oslo positive element emerge oslo meeting north atlantic treaty organization, Oslo The most positive element to emerge from the Oslo meeting of North Atlantic Treaty Organization Foreign Ministers has been
east providence organize civil defense setup begin appoint full-time director, East Providence should organize its civil defense setup and begin by appointing a full-time director , Raymond H. Hawksley ,
plainfield james p. mitchell sen. walter h. jones r-bergen last, Plainfield -- James P. Mitchell and Sen. Walter H. Jones R-Bergen , last night disagreed on the value of using
resentment well yesterday among democratic district leaders county leaders report, Resentment welled up yesterday among Democratic district leaders and some county leaders at reports that Mayor Wagner had decided to
appointment william s. pfaff jr. 41 promotion manager times-picayune publishing, Appointment of William S. Pfaff Jr. , 41 , as promotion manager of The Times-Picayune Publishing Company was announced Saturday
city controller alexander hemphill charge tuesday bid frankford elevated repair, City Controller Alexander Hemphill charged Tuesday that the bids on the Frankford Elevated repair project were rigged to the advantage
vincent g. ierulli appoint temporary assistant district attorney announce monday, Vincent G. Ierulli has been appointed temporary assistant district attorney , it was announced Monday by Charles E. Raymond ,
miami fla. march 17 oriole tonight retain distinction winless team, Miami , Fla. , March 17 -- The Orioles tonight retained the distinction of being the only winless team among
austin texas texas halfback even know team play eldon moritz, Austin , Texas -- A Texas halfback who doesn't even know the team's plays , Eldon Moritz , ranks fourth
rookie ron nischwitz continue pinpoint pitching monday night bear make, Rookie Ron Nischwitz continued his pinpoint pitching Monday night as the Bears made it two straight over Indianapolis , 5-3
philadelphia jan. 23 nick skorich line coach football champion philadelphia, Philadelphia , Jan. 23 -- Nick Skorich , the line coach for the football champion Philadelphia Eagles , was elevated
cardinal heed manager gene mauch phillies mislead pirates' slow start, If the Cardinals heed Manager Gene Mauch of the Phillies , they won't be misled by the Pirates' slower start
romantic news concern mrs. joan monroe armour f. lee h., Romantic news concerns Mrs. Joan Monroe Armour and F. Lee H. Wendell , who are to be married at 4:30
close seven month garden god club gala summer opening saturday, After being closed for seven months , the Garden of the Gods Club will have its gala summer opening Saturday
night new orleans '' gayety plan member thrift shop committee, `` A Night in New Orleans '' is the gayety planned by members of the Thrift Shop Committee for May
baltimore ohio railroad announce yesterday would reduce total amount payroll, The Baltimore and Ohio Railroad announced yesterday it would reduce the total amount of its payroll by 10 per cent
london feb. vital secret britain first atomic submarine dreadnought implication, London , Feb. 9 -- Vital secrets of Britain's first atomic submarine , the Dreadnought , and , by implication
st. johns mich. april 19 jury seven men five woman, St. Johns , Mich. , April 19 . -- A jury of seven men and five women found 21-year-old Richard
emory university board trustee announce friday prepare accept student race, Emory University's Board of Trustees announced Friday that it was prepared to accept students of any race as soon as
salem special second month row multnomah county may short general, Salem ( special ) -- For a second month in a row , Multnomah County may be short of general
